school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
P.S. 021 Philip H. Sheridan,698.2,19.380000000000006,7.58,88.1
P.S. 022 Graniteville,1033.0,23.82,14.62,86.62
P.S. 022 Thomas Jefferson,858.8,12.06,45.84,89.46
P.S. 023 Carter G. Woodson,294.6,28.660000000000004,9.94,85.46
P.S. 023 Richmondtown,521.8,27.440000000000005,3.1800000000000006,35.22
P.S. 023 The New Children's School,545.0,29.2,16.18,86.94
P.S. 024,683.4,17.22,44.9,95.1
P.S. 024 Andrew Jackson,984.2,11.72,39.82000000000001,54.94000000000001
P.S. 024 Spuyten Duyvil,960.4,15.3,3.3400000000000007,28.68
P.S. 025 Bilingual School,501.2,25.660000000000004,18.18,96.76
P.S. 025 Eubie Blake School,156.6,27.78,8.14,96.94
P.S. 026 Jesse Owens,231.4,26.4,7.26,82.1
P.S. 026 Rufus King,682.8,18.6,9.38,61.22000000000001
P.S. 026 The Carteret School,235.0,22.04,8.84,52.34
P.S. 028 Mount Hope,743.0,21.7,31.02,98.2
P.S. 028 The Warren Prep Academy,191.6,21.440000000000005,7.459999999999999,96.04
P.S. 028 Wright Brothers,733.4,22.42,34.959999999999994,85.54
P.S. 029 Bardwell,712.4,18.46,4.28,48.17999999999999
P.S. 029 John M. Harrigan,887.6,11.46,3.3600000000000003,10.44
P.S. 029 Queens,758.4,16.78,26.420000000000005,87.58
P.S. 030 Hernandez/Hughes,277.6,29.440000000000005,11.099999999999998,93.8
P.S. 030 Westerleigh,804.2,23.22,6.040000000000001,36.04
P.S. 030 Wilton,584.4,21.24,16.619999999999994,93.96
P.S. 031 Bayside,547.2,14.3,12.46,57.0
P.S. 031 Samuel F. Dupont,603.0,14.64,6.88,71.38
P.S. 031 William T. Davis,437.8,29.24,5.699999999999998,86.82000000000002
P.S. 032 Belmont,827.2,23.72,15.02,98.5
P.S. 032 Samuel Mills Sprole,490.6,25.72,4.48,47.67999999999999
P.S. 032 State Street,962.6,10.8,13.580000000000002,63.26000000000001
P.S. 032 The Gifford School,706.4,26.420000000000005,2.4,34.18
P.S. 033 Chelsea Prep,624.2,13.419999999999998,4.48,48.34
P.S. 033 Edward M. Funk,1021.8,12.58,14.66,78.98
P.S. 033 Timothy Dwight,1013.4,20.56,26.14,83.46
P.S. 034 Franklin D. Roosevelt,373.0,33.52,7.119999999999999,97.18
P.S. 034 John Harvard,567.8,15.9,10.24,88.19999999999997
P.S. 034 Oliver H. Perry,503.2,12.52,14.38,24.559999999999995
P.S. 035,271.6,89.46000000000002,9.02,76.96000000000002
P.S. 035 Franz Siegel,679.8,23.24,25.08,95.3
P.S. 035 Nathaniel Woodhull,675.0,14.66,13.5,88.2
P.S. 036 J. C. Drumgoole,901.0,21.28,2.32,32.160000000000004
P.S. 036 Margaret Douglas,466.0,27.82,7.92,88.86
P.S. 036 Saint Albans School,477.8,21.0,4.2799999999999985,63.98
P.S. 036 Unionport,754.6,19.68,13.48,68.86000000000001
P.S. 038 George Cromwell,369.6,21.020000000000003,14.9,67.92
P.S. 038 Rosedale,221.8,19.72,3.12,80.34
P.S. 038 The Pacific,543.2,17.94,7.08,59.17999999999999
P.S. 039 Henry Bristow,408.6,13.44,3.56,15.4
P.S. 040 Augustus Saint-Gaudens,634.4,17.580000000000002,2.3999999999999995,9.28
P.S. 040 George W. Carver,313.0,24.4,7.1,83.2
P.S. 040 Samuel Huntington,534.2,23.520000000000003,5.499999999999999,94.1
P.S. 041 Crocheron,522.0,15.68,6.08,38.06
P.S. 041 Francis White,502.6,29.78,5.64,98.66
P.S. 041 Greenwich Village,732.4,16.56,1.52,5.24
P.S. 041 Gun Hill Road,925.4,18.3,10.0,97.64
P.S. 042 Benjamin Altman,722.4,16.0,30.74,66.32
P.S. 042 Claremont,447.4,26.44,13.94,99.38
P.S. 042 Eltingville,980.6,22.4,3.0200000000000005,35.6
P.S. 043,967.0,22.5,8.559999999999999,89.32000000000002
P.S. 043 Jonas Bronck,500.2,23.360000000000007,10.84,96.22
P.S. 044 David C. Farragut,296.6,20.160000000000004,14.34,96.44
P.S. 044 Marcus Garvey,223.0,19.08,5.66,95.84
P.S. 044 Thomas C. Brown,918.6,31.380000000000006,7.06,94.52
P.S. 045 Clarence Witherspoon,379.6,19.380000000000006,7.74,88.36
P.S. 045 John Tyler,887.4,22.24,6.26,72.88
P.S. 046 Albert V. Maniscalco,303.0,29.579999999999995,10.18,82.14
P.S. 046 Alley Pond,589.6,26.72,9.98,48.28
P.S. 046 Arthur Tappan,764.6,26.56,10.06,93.3
P.S. 046 Edgar Allan Poe,1119.2,25.82,39.02,87.06000000000002
P.S. 046 Edward C. Blum,355.2,26.06,14.7,90.98000000000002
P.S. 047 Chris Galas,219.8,24.56,1.22,36.7
P.S. 047 John Randolph,1128.0,15.74,25.380000000000006,96.18
P.S. 048 Joseph R. Drake,812.8,27.6,17.8,87.9
P.S. 048 Mapleton,608.6,17.54,27.7,63.38
P.S. 048 P.O. Michael J. Buczek,592.6,23.3,31.34,94.84
P.S. 048 William G. Wilcox,907.2,18.62,6.340000000000002,43.1
P.S. 048 William Wordsworth,581.4,25.640000000000004,8.1,86.78
P.S. 049 Dorothy Bonawit Kole,1128.0,14.84,6.3,47.36
P.S. 049 Willis Avenue,677.6,25.22,16.44,97.58
P.S. 050 Frank Hankinson,828.8,18.84,4.12,34.260000000000005
P.S. 050 Talfourd Lawn Elementary School,793.2,18.64,14.88,93.28
P.S. 050 Vito Marcantonio,285.6,32.64,7.799999999999999,86.4
P.S. 051,250.2,11.56,25.0,81.75999999999998
P.S. 051 Bronx New School,238.4,15.54,4.4,86.24000000000002
P.S. 051 Elias Howe,373.2,24.74,10.220000000000002,53.78
P.S. 052 John C. Thompson,511.4,20.78,13.460000000000004,61.18000000000001
P.S. 052 Queens,493.0,20.48,5.32,68.08
P.S. 052 Sheepshead Bay,826.4,13.76,19.34,76.16
P.S. 053 Basheer Quisim,1246.4,15.339999999999998,26.880000000000006,89.12
P.S. 054 Charles W. Leng,793.8,23.18,7.32,58.52
P.S. 054 Hillside,579.6,15.56,26.3,64.97999999999999
P.S. 054 Samuel C. Barnes,238.0,20.54,13.420000000000002,92.44
P.S. 055 Benjamin Franklin,694.8,18.98,12.48,95.08
P.S. 055 Henry M. Boehm,634.2,21.880000000000006,2.06,34.8
P.S. 055 Maure,517.2,16.86,9.9,83.84
P.S. 056 Harry Eichler,402.0,17.74,19.1,85.33999999999997
P.S. 056 Lewis H. Latimer,216.4,18.98,4.0200000000000005,82.41999999999999
P.S. 056 Norwood Heights,684.4,21.42,16.58,77.54
P.S. 057 Crescent,549.8,23.48,13.06,84.17999999999998
P.S. 057 Hubert H. Humphrey,701.8,28.880000000000006,7.76,80.5
P.S. 058,484.4,23.58,20.94,90.76
P.S. 058 The Carroll,980.0,14.26,5.78,11.14
P.S. 059 Beekman Hill International,591.4,17.3,4.54,10.62
P.S. 059 The Community School of Technology,594.8,27.4,15.419999999999998,98.94
P.S. 059 William Floyd,329.4,23.02,11.4,85.55999999999997
P.S. 060 Alice Austen,904.8,24.64,4.2,59.8
P.S. 060 Woodhaven,1232.2,15.34,14.32,87.44000000000003
P.S. 061 Francisco Oller,319.4,18.94,7.76,95.24
P.S. 062 Inocensio Casanova,751.0,27.28,11.22,97.54
P.S. 063 Author's Academy,609.0,20.44,19.6,95.22
P.S. 063 Old South,1323.0,15.44,12.52,84.75999999999998
P.S. 064 Joseph P. Addabbo,647.8,10.76,18.18,66.3
P.S. 064 Robert Simon,263.8,32.44,4.96,93.06
P.S. 065,642.0,12.34,25.14,75.08000000000001
P.S. 065 Mother Hale Academy,425.8,23.4,12.820000000000002,98.9
P.S. 066 Jacqueline Kennedy Onassis,529.0,26.2,21.76,88.92
P.S. 066 School of Higher Expectations,694.4,20.28,13.860000000000005,82.7
P.S. 067 Charles A. Dorsey,236.0,30.820000000000004,9.04,96.14
P.S. 067 Mohegan School,631.2,21.3,8.66,85.22
P.S. 068 Bronx,737.4,21.6,1.2200000000000002,58.86
P.S. 068 Cambridge,720.0,18.44,18.46,63.7
P.S. 069 Daniel D. Tompkins,945.8,23.059999999999995,7.1,54.1
P.S. 069 Jackson Heights,1109.2,9.48,19.24,52.040000000000006
P.S. 069 Journey Prep School,608.2,22.3,8.98,89.4
P.S. 070,971.8,12.94,22.02,82.4
P.S. 070 Max Schoenfeld,1317.0,17.860000000000007,25.98,98.02
P.S. 071 Forest,860.6,16.9,14.74,83.35999999999999
P.S. 071 Rose E. Scala,1685.8,20.56,7.82,74.64000000000001
P.S. 072 Dr. William Dorney,867.2,26.44,5.24,86.14000000000001
P.S. 073 Bronx,786.4,19.880000000000006,22.56,93.18
P.S. 075 Emily Dickinson,575.4,31.42,14.28,71.06000000000002
P.S. 075 Mayda Cortiella,454.8,22.44,17.2,83.64
P.S. 076 A. Philip Randolph,500.2,20.58,8.86,92.86
P.S. 076 The Bennington School,1019.0,17.38,12.960000000000004,67.0
P.S. 076 William Hallet,529.6,36.4,14.56,71.58
P.S. 078 Anne Hutchinson,812.2,17.240000000000002,5.08,86.2
P.S. 079 Francis Lewis,1057.6,12.739999999999998,8.02,52.48
P.S. 081 Robert J. Christen,694.6,17.8,8.74,48.16
P.S. 081 Thaddeus Stevens,325.0,31.12,7.74,92.14
P.S. 082 Hammond,648.0,15.96,30.5,73.14000000000001
P.S. 083 Donald Hertz,1706.8,19.02,13.24,54.14
P.S. 083 Luis Munoz Rivera,448.0,20.64,9.220000000000002,89.17999999999998
P.S. 084 Jose De Diego,728.4,16.72,16.6,43.66
P.S. 084 Lillian Weber,562.2,17.22,8.64,48.9
P.S. 084 Steinway,322.4,16.620000000000005,10.16,47.16
P.S. 085 Great Expectations,989.0,25.42,26.24,96.84
P.S. 085 Judge Charles Vallone,599.6,12.16,10.32,38.06
P.S. 086 Kingsbridge Heights,1684.2,19.48,30.76,81.74000000000002
P.S. 086 The Irvington,414.8,21.360000000000007,26.940000000000005,98.04
P.S. 087 Bronx,619.0,19.48,2.08,86.42
P.S. 087 William Sherman,876.2,18.380000000000006,3.4799999999999995,9.04
P.S. 088 Seneca,1050.0,16.44,17.139999999999993,74.75999999999998
P.S. 089 Bronx,1486.0,19.08,19.98,66.7
P.S. 089 Cypress Hills,455.4,24.1,43.46,94.6
P.S. 089 Elmhurst,1983.6,15.539999999999996,42.78,64.68
P.S. 090 Horace Mann,860.4,18.12,18.54,90.12
P.S. 091 Bronx,743.8,23.58,37.0,95.12
P.S. 091 Richard Arkwright,801.8,21.38,9.66,72.32000000000002
P.S. 091 The Albany Avenue School,373.2,23.98,8.3,93.36
P.S. 092 Adrian Hegeman,468.6,17.360000000000007,17.04,90.52
P.S. 092 Bronx,461.2,22.1,20.92,94.08
P.S. 092 Harry T. Stewart Sr.,902.4,18.880000000000006,32.42,72.64
P.S. 092 Mary McLeod Bethune,281.8,29.44,10.56,96.52
P.S. 093 Albert G. Oliver,375.4,24.5,7.2200000000000015,64.97999999999999
P.S. 093 William H. Prescott,303.4,17.94,9.8,95.02
P.S. 094 David D. Porter,368.2,14.74,8.040000000000001,42.96
P.S. 094 Kings College School,1239.8,22.78,27.2,94.38
P.S. 094 The Henry Longfellow,1471.2,8.56,57.42,97.82
P.S. 095 Eastwood,1498.6,10.62,25.58,66.94
P.S. 095 Sheila Mencher,1311.2,19.4,18.72,74.16
P.S. 095 The Gravesend,948.0,17.96,14.0,65.67999999999999
P.S. 096,311.0,9.2,11.38,84.52000000000002
P.S. 096 Joseph Lanzetta,453.2,30.74,19.48,85.6
P.S. 096 Richard Rodgers,970.0,19.96,8.919999999999998,74.1
P.S. 097 Bronx,716.0,19.46,5.9,78.06
P.S. 097 Forest Park,724.2,16.24,20.16,87.96
P.S. 098 Shorac Kappock,567.4,17.400000000000002,37.62000000000001,90.94
P.S. 098 The Douglaston School,228.8,12.68,2.34,21.18
P.S. 099 Isaac Asimov,866.4,14.88,28.559999999999995,62.0
P.S. 099 Kew Gardens,824.0,19.58,11.52,67.05999999999999
P.S. 100 Glen Morris,963.4,18.84,7.24,53.74000000000001
P.S. 100 Isaac Clason,592.2,27.42,6.459999999999999,77.02
P.S. 100 The Coney Island School,757.8,16.02,13.739999999999998,55.4
P.S. 101 School in the Gardens,631.0,11.34,5.1400000000000015,18.88
P.S. 101 The Verrazano,884.2,19.72,19.58,58.78
P.S. 102 Bayview,1299.6,12.76,14.26,85.62
P.S. 102 Jacques Cartier,309.2,30.059999999999995,11.34,86.03999999999998
P.S. 102 The Bayview,1405.0,16.900000000000002,15.18,65.97999999999999
P.S. 103 Hector Fontanez,1150.6,20.42,17.42,87.64000000000001
P.S. 104 The Bays Water,695.0,20.660000000000004,10.78,72.47999999999998
P.S. 105 Sen Abraham Bernstein,1276.4,19.96,22.14,90.94
P.S. 105 The Bay School,847.0,25.14,4.76,81.86000000000001
P.S. 105 The Blythebourne,1656.6,6.9,50.8,70.83999999999997
P.S. 106 Edward Everett Hale,505.0,23.32,27.660000000000004,95.44
P.S. 106 Parkchester,1165.4,15.72,14.0,65.7
P.S. 107,515.0,31.62,10.04,97.68
P.S. 107 John W. Kimball,573.2,12.14,1.4,8.16
P.S. 107 Thomas A Dooley,971.4,17.560000000000002,20.72,72.76
P.S. 108 Assemblyman Angelo Del Toro Educational C,572.2,28.22,11.48,81.99999999999999
P.S. 108 Captain Vincent G. Fowler,1465.4,14.6,6.9,84.82000000000002
P.S. 108 Philip J. Abinanti,595.6,15.660000000000002,10.739999999999998,80.42
P.S. 108 Sal Abbracciamento,946.6,22.58,12.38,76.82
P.S. 109,646.8,26.26,6.06,87.14000000000001
P.S. 109 Sedgwick,755.0,19.82,24.6,93.16
P.S. 11 Thomas Dongan School,287.4,23.16,11.12,75.55999999999997
P.S. 110,422.4,15.060000000000002,41.76,95.88
P.S. 110 Florence Nightingale,398.2,15.16,3.4200000000000004,55.74
P.S. 110 The Monitor,449.8,11.58,11.38,35.84
P.S. 110 Theodore Schoenfeld,471.0,24.6,13.24,96.16
P.S. 111 Adolph S. Ochs,424.0,26.68,13.420000000000002,57.2
P.S. 111 Jacob Blackwell,323.2,29.820000000000004,16.98,91.93999999999998
P.S. 111 Seton Falls,704.6,28.06,7.5,91.98
P.S. 112 Bronxwood,419.6,21.66,4.360000000000001,97.78
P.S. 112 Dutch Kills,507.6,14.56,17.080000000000002,73.44
P.S. 112 Jose Celso Barbosa,339.2,34.760000000000005,20.46,74.22
P.S. 112 Lefferts Park,607.8,18.48,22.98,64.66
P.S. 114 Ryder Elementary,574.4,21.2,12.000000000000002,69.9
P.S. 115 Alexander Humboldt,539.2,17.080000000000002,32.08,98.08
P.S. 115 Daniel Mucatel School,1081.8,15.94,4.58,53.64
P.S. 116 Elizabeth L Farrell,481.2,21.74,25.9,80.54
P.S. 116 Mary Lindley Murray,636.4,16.86,9.22,36.02
P.S. 117 J. Keld / Briarwood School,1051.2,16.7,10.44,48.98
P.S. 118 Lorraine Hansberry,527.4,19.160000000000004,5.7200000000000015,64.0
P.S. 119 Amersfort,428.0,16.740000000000002,7.580000000000001,63.62000000000001
P.S. 120 Carlos Tapia,446.2,21.96,16.02,81.0
P.S. 120 Queens,1035.0,10.6,40.48,57.96
P.S. 121 Nelson A. Rockefeller,359.8,26.22,17.66,59.44
P.S. 121 Queens,911.2,12.2,3.86,82.22
P.S. 121 Throop,962.8,16.6,5.28,58.46
P.S. 122 Mamie Fay,1371.6,10.74,5.98,55.31999999999999
P.S. 123,690.4,19.22,5.040000000000001,90.92
P.S. 123 Mahalia Jackson,545.6,24.06,18.58,91.16
P.S. 123 Suydam,736.6,18.64,29.42,97.66
P.S. 124 Osmond A Church,1291.8,12.68,5.7,52.08
P.S. 124 Silas B. Dutcher,339.8,17.46,21.18,57.9
P.S. 124 Yung Wing,809.8,10.76,30.98,47.8
P.S. 125 Ralph Bunche,240.0,23.22,9.68,78.62
P.S. 126 Dr Marjorie H Dunbar,668.2,14.9,22.38,96.9
P.S. 126 Jacob August Riis,797.2,17.700000000000006,18.3,79.44000000000003
P.S. 127 Aerospace Science Magnet School,1355.8,15.22,31.68,88.58
P.S. 127 Mckinley Park,525.4,19.94,27.08,79.44
P.S. 128 Audubon,613.6,17.9,28.78,93.38
P.S. 128 Bensonhurst,433.6,16.3,39.6,84.79999999999998
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",945.4,12.919999999999998,3.76,34.86
P.S. 129 John H. Finley,485.2,22.16,10.0,92.32
P.S. 129 Patricia Larkin,1112.2,15.52,15.4,77.38
P.S. 130,370.0,15.720000000000002,13.98,39.46
P.S. 130 Abram Stevens Hewitt,500.8,26.18,22.8,79.34
P.S. 130 Hernando De Soto,968.6,13.580000000000002,15.06,48.72
P.S. 130 The Parkside,758.2,19.28,13.96,43.2
P.S. 131 Abigail Adams,836.6,10.32,20.28,85.7
P.S. 131 Brooklyn,1079.0,16.04,41.86,72.22
P.S. 132 Garret A. Morgan,438.8,25.779999999999994,13.32,87.06000000000002
P.S. 132 Juan Pablo Duarte,457.8,22.48,49.16,80.88
P.S. 132 Ralph Bunche,371.6,21.0,2.0,84.5
P.S. 132 The Conselyea School,718.6,10.2,7.780000000000001,38.1
P.S. 133 Fred R Moore,222.8,33.82000000000001,9.0,92.82
P.S. 133 Queens,490.6,19.46,7.44,60.88000000000001
P.S. 133 William A. Butler,645.8,15.12,4.040000000000001,32.940000000000005
P.S. 134 George F. Bristow,685.6,16.36,12.06,96.62
P.S. 134 Henrietta Szold,297.4,35.6,11.52,91.86
P.S. 134 Hollis,436.0,21.8,10.12,80.44
P.S. 135 Sheldon A. Brookner,639.0,10.88,4.58,88.8
P.S. 136 Roy Wilkins,622.2,16.68,3.72,89.56000000000002
P.S. 138,582.0,99.88,23.64,75.58
P.S. 138 Brooklyn,642.8,16.259999999999998,6.7,88.74
P.S. 138 Samuel Randall,779.2,18.98,5.32,89.88
P.S. 139 Alexine A. Fenty,1001.4,16.259999999999998,18.520000000000003,82.23999999999998
P.S. 139 Rego Park,812.8,17.18,17.26,65.28
P.S. 140 Edward K Ellington,519.0,18.32,3.78,92.32
P.S. 140 Nathan Straus,380.4,33.76,13.4,79.46000000000002
P.S. 142 Amalia Castro,364.0,33.7,8.82,97.16
P.S. 143 Louis Armstrong,1704.0,18.82,47.24,94.38
P.S. 144 Col Jeromus Remsen,856.8,12.24,4.88,22.82
P.S. 145 Andrew Jackson,704.8,15.36,20.76,83.96000000000002
"P.S. 145, The Bloomingdale School",385.4,23.14,12.46,73.7
P.S. 146 Ann M. Short,382.2,44.0,19.84,97.22
P.S. 146 Edward Collins,426.8,23.74,11.96,96.98
P.S. 146 Howard Beach,696.6,22.14,2.18,50.96
P.S. 147 Isaac Remsen,315.0,18.92,9.64,83.38000000000002
P.S. 148 Queens,1002.4,15.179999999999998,30.06,66.9
P.S. 149 Christa Mcauliffe,1169.0,13.32,34.059999999999995,71.88
P.S. 149 Danny Kaye,711.4,14.960000000000004,7.38,95.46
P.S. 149 Sojourner Truth,280.4,29.6,10.28,92.84
P.S. 150,185.0,15.060000000000002,2.72,13.420000000000002
P.S. 150 Charles James Fox,904.4,21.62,22.86,94.76
P.S. 150 Christopher,187.4,32.14,11.9,98.18
P.S. 150 Queens,1156.6,12.02,14.64,46.58
P.S. 151 Lyndon B. Johnson,335.4,23.42,22.520000000000003,97.06000000000002
P.S. 151 Mary D. Carter,431.4,22.58,12.52,91.56
P.S. 152 Dyckman Valley,623.4,20.28,30.78,94.0
P.S. 152 Evergreen,934.6,21.56,26.44,84.7
P.S. 152 Gwendoline N. Alleyne School,1262.6,11.98,30.08,64.32000000000001
P.S. 153 Adam Clayton Powell,735.8,15.62,28.08,88.0
P.S. 153 Helen Keller,688.8,13.44,1.7600000000000002,65.54
P.S. 153 Homecrest,553.8,18.32,23.440000000000005,67.44000000000001
P.S. 153 Maspeth Elem,1335.8,15.74,10.0,70.28
P.S. 154 Harriet Tubman,315.8,25.46,14.88,97.84
P.S. 154 Jonathan D. Hyatt,400.0,21.6,10.9,96.62
P.S. 154 Queens,711.4,13.48,23.280000000000005,82.33999999999997
P.S. 155,558.6,13.04,6.459999999999999,94.04
P.S. 155 William Paca,325.0,31.12,39.04,98.54
P.S. 156 Laurelton,334.4,15.300000000000002,4.16,75.8
P.S. 156 Waverly,764.2,22.14,2.3,90.98
P.S. 157 Grove Hill,652.8,20.08,9.7,95.78
P.S. 158 Bayard Taylor,769.0,17.66,4.64,12.14
P.S. 158 Warwick,589.8,19.28,7.659999999999998,91.4
P.S. 159,658.4,12.66,14.420000000000002,51.14
P.S. 159 Isaac Pitkin,834.8,14.220000000000002,18.58,77.9
P.S. 159 Luis Munoz Marin Biling,193.6,20.4,30.74,80.96
P.S. 160 Walt Disney,405.8,27.640000000000004,5.659999999999998,74.62
P.S. 160 Walter Francis Bishop,676.0,20.360000000000007,5.74,87.94
P.S. 160 William T. Sampson,1317.4,9.96,67.22,70.08
P.S. 161 Arthur Ashe School,707.6,14.02,12.16,88.94
P.S. 161 Juan Ponce De Leon School,525.8,26.660000000000004,19.78,96.06000000000002
P.S. 161 Pedro Albizu Campos,870.8,23.38,27.84,94.98
P.S. 161 The Crown,424.0,17.78,3.96,92.78
P.S. 162 John Golden,699.2,13.76,13.419999999999998,60.92
P.S. 163 Alfred E. Smith,588.6,16.740000000000002,6.959999999999999,50.68000000000001
P.S. 163 Arthur A. Schomburg,541.6,21.12,35.64,99.06000000000002
P.S. 163 Bath Beach,623.2,21.380000000000006,19.12,82.04
P.S. 163 Flushing Heights,674.6,13.38,42.12000000000001,79.68
P.S. 164 Caesar Rodney,613.8,18.5,18.04,77.28
P.S. 164 Queens Valley,662.4,15.96,12.98,76.02000000000002
P.S. 165 Edith K. Bergtraum,753.0,21.92,12.12,72.44000000000003
P.S. 165 Ida Posner,386.8,28.92,4.1,78.74
P.S. 165 Robert E. Simon,759.8,19.96,15.960000000000004,75.46000000000002
P.S. 166 Henry Gradstein,1181.8,10.6,17.259999999999998,73.14
P.S. 166 The Richard Rodgers School of The Arts an,621.8,12.84,4.300000000000002,22.98
P.S. 168,505.0,99.48,21.74,80.84
P.S. 169 Bay Terrace,420.2,18.86,5.1,35.32
P.S. 169 Sunset Park,1603.4,15.66,45.76000000000001,77.66
P.S. 170,278.8,15.98,27.68,79.02000000000002
P.S. 171 Patrick Henry,732.0,21.34,2.5,65.3
P.S. 171 Peter G. Van Alst,529.0,21.34,19.580000000000005,93.94
P.S. 172 Beacon School of Excellence,596.6,28.1,25.24,86.84
P.S. 173,590.8,15.62,16.9,87.72
P.S. 173 Fresh Meadows,950.6,13.74,10.5,58.22000000000001
P.S. 174 William Sidney Mount,682.6,10.52,10.56,37.14
P.S. 175 City Island,330.4,17.5,2.16,40.62000000000001
P.S. 175 Henry H Garnet,347.8,22.54,13.16,96.64
P.S. 175 The Lynn Gross Discovery School,770.0,12.76,8.62,59.66
P.S. 176 Cambria Heights,733.4,10.36,1.44,76.9
P.S. 176 Ovington,1388.2,11.16,25.24,86.28
P.S. 177 The Marlboro,971.8,18.42,31.9,68.32
P.S. 178 - Dr. Selman Waksman,476.4,24.82,3.86,79.54
P.S. 178 Saint Clair Mckelway,394.0,19.18,5.98,90.36
P.S. 179,368.6,23.3,30.0,95.64
P.S. 179 Kensington,940.6,15.76,47.34,77.38
P.S. 180 Hugo Newman,594.0,17.360000000000007,5.98,71.82000000000002
P.S. 181 Brookfield,366.0,21.380000000000006,3.0600000000000005,76.24
P.S. 181 Brooklyn,869.2,17.380000000000006,10.78,68.60000000000001
P.S. 182,977.0,17.22,5.0600000000000005,85.63999999999999
P.S. 182 Samantha Smith,868.2,15.98,33.2,95.58
P.S. 183 Dr. Richard R. Green,564.0,30.74,4.659999999999998,91.64
P.S. 183 Robert L. Stevenson,582.2,18.84,5.7200000000000015,9.080000000000002
P.S. 184 Flushing Manor,514.8,16.22,8.360000000000001,46.32000000000001
P.S. 184 Newport,542.2,21.5,3.82,93.14
P.S. 184m Shuang Wen,670.4,15.52,15.919999999999998,69.34
P.S. 185 - The Early Childhood Discovery and Desig,240.4,19.34,5.68,87.36
P.S. 185 Walter Kassenbrock,685.4,14.1,7.160000000000001,41.76000000000001
P.S. 186 Castlewood,384.2,27.52,1.5,33.86
P.S. 186 Dr. Irving A Gladstone,997.4,15.539999999999996,29.14,62.34
P.S. 188 Kingsbury,701.8,9.16,3.06,23.9
P.S. 188 Michael E. Berdy,490.4,23.82,4.88,82.96000000000002
P.S. 188 The Island School,470.0,29.059999999999995,15.179999999999998,87.34
P.S. 189,987.6,16.119999999999994,29.46,91.78
P.S. 189 The Bilingual Center,1087.4,13.080000000000002,18.380000000000006,92.72
P.S. 190 Sheffield,179.4,13.48,2.2,95.7
P.S. 191 Mayflower,401.4,12.56,11.62,58.7
P.S. 191 Paul Robeson,195.4,22.86,4.2799999999999985,95.6
P.S. 192 - The Magnet School for Math and Science,667.2,22.38,30.58,71.19999999999997
P.S. 192 Jacob H. Schiff,338.8,19.06,30.22,94.14
P.S. 193 Alfred J. Kennedy,548.4,13.76,10.68,38.67999999999999
P.S. 193 Gil Hodges,836.4,18.1,17.8,77.5
P.S. 194 Countee Cullen,202.8,25.28,18.02,97.16
P.S. 194 Raoul Wallenberg,505.6,24.880000000000006,9.68,78.96
P.S. 195,971.8,21.74,27.22000000000001,86.92
P.S. 195 Manhattan Beach,466.8,7.459999999999999,12.96,30.5
P.S. 195 William Haberle,617.4,17.32,1.7399999999999998,87.17999999999998
P.S. 196,959.4,17.66,28.02,80.84
P.S. 196 Grand Central Parkway,879.8,12.18,5.92,22.82
P.S. 196 Ten Eyck,342.4,29.02,10.080000000000002,89.78
P.S. 197 - The Kings Highway Academy,614.2,19.84,23.6,57.46
P.S. 197 John B. Russwurm,314.0,30.12,6.26,91.84
P.S. 197 The Ocean School,532.4,22.72,18.48,93.42
P.S. 198 Brooklyn,459.6,21.58,3.82,86.02000000000002
P.S. 198 Isador E. Ida Straus,476.8,20.8,6.3,45.94
P.S. 199 Frederick Wachtel,508.6,18.1,31.08,84.46000000000002
P.S. 199 Jessie Isador Straus,872.4,17.240000000000002,2.6,7.74
P.S. 199 Maurice A. Fitzgerald,991.2,16.740000000000002,37.98,58.96
P.S. 199X - The Shakespeare School,789.8,20.880000000000006,27.7,97.06
P.S. 200 Benson School,1320.0,11.52,24.380000000000006,79.67999999999998
P.S. 200- The James Mccune Smith School,466.6,25.22,12.78,89.76
P.S. 201 The Discovery School for Inquiry and Rese,497.6,21.68,8.739999999999998,67.58
P.S. 202 Ernest S. Jenkyns,528.2,24.6,8.86,94.28
P.S. 203 Floyd Bennett School,776.2,20.32,5.7799999999999985,58.64
P.S. 203 Oakland Gardens,918.0,11.02,11.04,40.24
P.S. 204 Morris Heights,608.6,21.58,10.38,79.55999999999997
P.S. 204 Vince Lombardi,1178.0,14.580000000000002,13.44,75.7
P.S. 205 Alexander Graham Bell,318.6,17.7,5.0200000000000005,29.779999999999994
P.S. 205 Clarion,1190.2,16.54,28.64,60.96
P.S. 205 Fiorello LaGuardia,1033.0,20.76,22.559999999999995,83.67999999999998
P.S. 206 Jose Celso Barbosa,470.0,39.92,14.0,74.4
P.S. 206 Joseph F Lamb,1445.4,12.34,19.22,72.82000000000002
P.S. 206 The Horace Harding School,601.4,10.52,24.660000000000004,81.9
P.S. 207,362.6,16.6,35.48,78.7
P.S. 207 Elizabeth G. Leary,1266.0,17.48,2.96,50.26000000000001
P.S. 207 Rockwood Park,720.8,19.9,0.22000000000000006,39.22
P.S. 208 Elsa Ebeling,439.8,21.6,3.22,85.0
P.S. 209,264.2,29.24,23.84,96.14
P.S. 209 Clearview Gardens,605.0,15.52,6.28,36.48
