school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
Frederick Douglass Academy VI High School,377.4,20.380000000000006,12.08,78.38
Frederick Douglass Academy VII High School,252.4,28.96,3.3200000000000003,88.62
Frederick Douglass Academy VIII Middle School,310.2,16.080000000000002,2.68,83.34
Future Leaders Institute Charter School,377.4,15.22,5.459999999999999,85.10000000000002
Garden of Learning and Discovery Pre-K Center,82.66666666666667,6.566666666666666,0.0,72.26666666666667
Gaynor McCown Expeditionary Learning School,455.0,23.660000000000004,0.3,48.39999999999999
George Washington Carver High School for the Scien,493.4,14.160000000000002,3.9,74.16000000000003
George Westinghouse Career and Technical Education,680.2,19.06,2.18,79.9
Girls Preparatory Charter School of New York,604.6,16.82,2.3,79.8
Girls Preparatory Charter School of the Bronx,669.2,17.1,5.840000000000002,84.48
Global Community Charter School,345.0,16.8,15.580000000000002,80.1
Global Technology Preparatory,154.0,39.52,9.08,80.44000000000003
Goldie Maple Academy,501.0,6.3199999999999985,0.08,80.88
Gotham Collaborative High School,362.4,29.620000000000005,10.919999999999998,75.44
Gotham Professional Arts Academy,207.2,26.26,3.08,70.7
Gramercy Arts High School,525.2,16.580000000000002,2.04,75.96
Grand Concourse Charter School,478.0,10.760000000000002,19.66,91.08
Grant Avenue Elementary School,452.4,30.42,22.78,96.14
Great Oaks Charter School,183.4,28.360000000000007,6.1,77.96000000000002
Gregorio Luperon High School for Science and Mathe,506.0,1.7399999999999998,75.42,95.72
Grover Cleveland High School,1800.2,17.160000000000004,20.08,71.64000000000001
Growing Up Green Charter School,694.2,19.3,9.9,52.68000000000001
Growing Up Green Charter School II,258.5,20.65,8.75,76.4
"H.E.R.O. High (Health, Education, and Research Occ",330.2,18.9,11.48,82.24
Hamilton Grange Middle School,188.25,23.025,33.224999999999994,90.25
Hamilton Heights School,212.4,12.86,18.54,76.12
Harbor Heights,143.8,0.9,92.14,97.0
Harbor Science and Arts Charter School,259.6,19.84,2.3200000000000003,67.12
Harlem Children's Zone Promise Academy 1 Charter S,1078.8,16.44,2.9,84.47999999999998
Harlem Children's Zone Promise Academy II Charter,872.0,15.4,3.4800000000000004,81.94
Harlem Hebrew Language Charter School,269.8,24.64,7.0600000000000005,47.76
Harlem Link Charter School,369.8,18.28,5.94,87.85999999999999
Harlem Prep Charter School,750.6,16.96,6.24,82.8
Harlem Renaissance High School,232.0,21.8,15.36,82.46
Harlem Village Academy Charter School,866.8,18.3,4.1400000000000015,76.44
Harlem Village Academy Leadership Charter School,836.4,17.22,2.9,79.16
Harriet Tubman Charter School,668.8,11.46,9.74,70.52000000000002
Harry S Truman High School,2012.4,22.16,6.08,69.67999999999999
Harvest Collegiate High School,393.2,25.68,2.0,60.56
Harvey Milk High School,67.6,31.74,3.3200000000000003,84.35999999999999
Hawtree Creek Middle School,292.0,20.74,3.58,86.53999999999998
Health Opportunities High School,527.4,20.46,10.4,87.89999999999998
Hebrew Language Academy Charter School,574.8,17.14,6.94,64.12
Hebrew Language Academy Charter School 2,129.0,24.0,17.1,79.1
Heketi Community Charter School,228.2,17.080000000000002,21.62,88.67999999999998
Hellenic Classical Charter School,490.8,8.74,3.4,58.44
Herbert H. Lehman High School,1249.4,24.44,11.4,73.52000000000002
"Heritage School, The",324.6,25.9,6.94,90.22
High School M560 - City As School,623.8,17.4,3.0,58.54
High School for Arts and Business,839.2,15.62,8.4,60.35999999999999
High School for Civil Rights,301.8,25.64,7.94,77.0
High School for Community Leadership,432.8,15.74,15.660000000000002,84.58
"High School for Construction Trades, Engineering a",984.0,12.66,1.06,66.56
High School for Contemporary Arts,485.4,28.360000000000007,10.18,72.02000000000002
High School for Dual Language and Asian Studies,407.8,2.44,18.64,88.0
High School for Energy and Technology,348.8,23.12,10.1,83.03999999999998
High School for Environmental Studies,1258.6,17.22,7.7799999999999985,77.68
High School for Excellence and Innovation,218.0,28.76,30.4,88.96
High School for Health Careers and Sciences,535.6,17.1,33.67999999999999,96.68
High School for Health Professions and Human Servi,1736.2,12.9,5.58,65.88
High School for Innovation in Advertising and Medi,289.8,19.34,6.959999999999999,75.8
High School for Law Enforcement and Public Safety,563.2,18.38,3.3200000000000003,72.32000000000002
High School for Law and Public Service,620.4,21.86,30.22000000000001,79.94
"High School for Law, Advocacy and Community Justic",501.2,18.04,6.160000000000001,89.38
"High School for Mathematics, Science and Engineeri",472.8,4.34,0.08,48.02
High School for Media and Communications,449.2,18.58,38.24,91.86
High School for Medical Professions,427.6,14.6,2.84,92.92
High School for Public Service: Heroes of Tomorrow,454.8,11.86,1.58,82.44
High School for Service & Learning at Erasmus,401.4,19.34,11.52,76.7
High School for Teaching and the Professions,472.4,24.32,20.98,88.64000000000001
High School for Violin and Dance,328.2,27.08,13.38,92.98
High School for Youth and Community Development at,407.4,23.46,9.28,83.52000000000002
High School of American Studies at Lehman College,381.8,2.76,0.0,25.840000000000003
High School of Applied Communication,417.8,15.86,7.480000000000001,76.96000000000002
High School of Arts and Technology,560.8,22.64,10.68,90.46
High School of Computers and Technology,552.2,24.9,7.7200000000000015,68.16
High School of Economics and Finance,764.8,17.2,6.2200000000000015,78.86
